profile,mode,sessions,latency_success_rate,latency_p50,latency_p95,latency_p99,concurrency_success_rate,cpu_peak,cpu_avg,mem_peak,mem_avg,pcap_bytes,top_error,delta_latency_p95_vs_classical,delta_cpu_peak_vs_classical,delta_mem_peak_vs_classical
dc_lan,classical,1.0,100.0,0.02442,0.02442,0.02442,0.0,0.76,0.76,nan,nan,24.0,,+0.00%,+0.00%,N/A
dc_lan,hybrid,1.0,100.0,0.02381,0.02381,0.02381,0.0,0.66,0.66,nan,nan,24.0,,-2.50%,-13.16%,N/A
dc_lan,pqc,1.0,100.0,0.026771,0.026771,0.026771,0.0,0.67,0.663,nan,nan,24.0,,+9.63%,-11.84%,N/A
cross_region,classical,1.0,100.0,0.191305,0.191305,0.191305,0.0,0.76,0.76,nan,nan,24.0,,+0.00%,+0.00%,N/A
cross_region,hybrid,1.0,100.0,0.169658,0.169658,0.169658,0.0,0.81,0.8100000000000002,nan,nan,24.0,,-11.32%,+6.58%,N/A
cross_region,pqc,1.0,100.0,0.17214,0.17214,0.17214,0.0,0.78,0.78,nan,nan,24.0,,-10.02%,+2.63%,N/A
