run_id,finished_utc,workload,sessions,latency_runs,resumption_mode,acceptance_overall,failed_compat_steps
smoke-run-id,2026-04-26T12:03:07Z,quick_smoke,1,10,off,FAIL,1
suite-quick-20260426-185620,N/A,N/A,1,10,off,FAIL,0
